subj	rel	obj	id	flag
extreme temperature|jn	causes	energy level decrease|av	0025-a087-5991-7f66	0
weather|v	instrument	material|n	02f0-b4ba-41d8-0483	0
weather|v	instrument	rock|n	02f0-b4ba-41d8-0483	0
weather|v	instrument	soil|n	02f0-b4ba-41d8-0483	0
weather|v	instrument	water|n	02f0-b4ba-41d8-0483	0
weather|v	instrument	wind|n	02f0-b4ba-41d8-0483	0
weather|v	result	weathering|v	02f0-b4ba-41d8-0483	0
refract|v	result	change appearance|vp	052f-26fc-455b-c202	0
skid|v	causes	friction|n	0781-1abe-a590-378c	0
destroy|v	causes	harm|n	07c1-be64-120e-f54b	0
scrape|v	result	small object break off|av	0887-9c82-3ec7-f2d7	0
earth's tilt|ns	causes	seasons|n	0b7b-cf23-e64f-4200	0
lightning|n	causes	thunder|n	0c89-cc86-5c75-810c	0
water|n	causes	rock erosion|ns	0d14-c53e-d23c-17d9	0
water|n	causes	soil erosion|ns	0d14-c53e-d23c-17d9	0
burn living thing|vp	has negative impact on	living thing|jn	0e47-2c50-6be2-5375	0
burn living thing|vp	result	harm|n	0e47-2c50-6be2-5375	0
chemical reaction|jn	causes	change|n	0f0d-2cc5-fcc1-3c1f	0
chemical reaction|jn	synonym	reaction|n	0f0d-2cc5-fcc1-3c1f	0
paint object|vp	result	change colour|vp	10c6-c21e-e54b-036e	0
food spoil|av	instrument	microorganism|n	123c-6e70-ccd0-1f3d	0
cell phone|ns	causes	distraction|n	1368-7e6c-b1cf-28db	0
distraction|n	derivational morphology	distract|v	1368-7e6c-b1cf-28db	0
decrease visibility|vp	result	crash car|vp	13f7-a730-e457-60bf	0
medicine|n	causes	bad reaction|jn	159e-ed52-d9e3-76ed	0
debris|n	causes	harm|n	166f-d4e8-1bed-b031	0
snap|v	agent	rubber band|ns	1746-191d-7cbb-69c4	0
snap|v	result	particle vibrate|av	1746-191d-7cbb-69c4	0
skid|v	has negative impact on	speed|n	1af6-b1e2-ade4-b6af	0
earth revolve|av	at location	axis|n	1cca-1ac1-5bea-5cf6	0
earth revolve|av	result	season change|av	1cca-1ac1-5bea-5cf6	0
little food|qn	causes	starvation|n	2562-da3c-5a61-e440	0
starvation|n	derivational morphology	starve|v	2562-da3c-5a61-e440	0
starve|v	instrument	little food|qn	2562-da3c-5a61-e440	0
friction|n	causes	heat|n	26cb-7582-a17c-a0d6	0
heat|n	similar to	temperature|n	26cb-7582-a17c-a0d6	0
push tectonic plate|vp	result	earthquake|n	2b70-ecb7-15fb-441c	0
knowledge|n	derivational morphology	know|v	2b90-3d2b-39c8-bd3b	0
learn information|vp	result	know information|vp	2b90-3d2b-39c8-bd3b	0
