subj	rel	obj	id	flag
consumer eat organism|avp	has negative impact on	organism|n	10c2-8847-99e1-057b	0
consumer eat organism|avp	has positive impact on	consumer|n	10c2-8847-99e1-057b	0
scavenger eat dead organism|avp	has positive impact on	scavenger|n	207c-b6d1-fb72-d730	0
carnivore eat animal|avp	has negative impact on	animal|n	20a3-dcb5-8ce4-ae5c	0
carnivore eat animal|avp	has positive impact on	carnivore|n	20a3-dcb5-8ce4-ae5c	0
omnivore eat animal|avp	has negative impact on	animal|n	20a3-dcb5-8ce4-ae5c	0
omnivore eat animal|avp	has positive impact on	omnivore|n	20a3-dcb5-8ce4-ae5c	0
predator eat animal|avp	has negative impact on	animal|n	20a3-dcb5-8ce4-ae5c	0
predator eat animal|avp	has positive impact on	predator|n	20a3-dcb5-8ce4-ae5c	0
omnivore eat animal|avp	has negative impact on	animal|n	3b62-4057-84c9-7743	0
omnivore eat animal|avp	has positive impact on	omnivore|n	3b62-4057-84c9-7743	0
omnivore eat animal|avp	structural-agent	omnivore|n	3b62-4057-84c9-7743	0
omnivore eat animal|avp	structural-patient	animal|n	3b62-4057-84c9-7743	0
omnivore eat animal|avp	structural-verb	eat|v	3b62-4057-84c9-7743	0
omnivore eat plant|avp	has negative impact on	plant|n	3b62-4057-84c9-7743	0
omnivore eat plant|avp	has positive impact on	omnivore|n	3b62-4057-84c9-7743	0
omnivore eat plant|avp	structural-agent	omnivore|n	3b62-4057-84c9-7743	0
omnivore eat plant|avp	structural-patient	plant|n	3b62-4057-84c9-7743	0
omnivore eat plant|avp	structural-verb	eat|v	3b62-4057-84c9-7743	0
tuna eat fish|avp	has negative impact on	fish|n	4134-b88a-654b-1cf3	0
tuna eat fish|avp	has positive impact on	tuna|n	4134-b88a-654b-1cf3	0
tuna eat fish|avp	structural-agent	tuna|n	4134-b88a-654b-1cf3	0
tuna eat fish|avp	structural-patient	fish|n	4134-b88a-654b-1cf3	0
tuna eat fish|avp	structural-verb	eat|v	4134-b88a-654b-1cf3	0
herbivore eat plant|avp	has negative impact on	plant|n	57e4-c7f7-0031-fb0a	0
herbivore eat plant|avp	has positive impact on	herbivore|n	57e4-c7f7-0031-fb0a	0
herbivore eat plant|avp	structural-agent	herbivore|n	57e4-c7f7-0031-fb0a	0
herbivore eat plant|avp	structural-patient	plant|n	57e4-c7f7-0031-fb0a	0
herbivore eat plant|avp	structural-verb	eat|v	57e4-c7f7-0031-fb0a	0
eagle eat rabbit|avp	has negative impact on	rabbit|n	5ac6-9dc1-9a19-3eaa	0
eagle eat rabbit|avp	has positive impact on	eagle|n	5ac6-9dc1-9a19-3eaa	0
eagle eat rabbit|avp	structural-agent	eagle|n	5ac6-9dc1-9a19-3eaa	0
eagle eat rabbit|avp	structural-patient	rabbit|n	5ac6-9dc1-9a19-3eaa	0
eagle eat rabbit|avp	structural-verb	eat|v	5ac6-9dc1-9a19-3eaa	0
lizard eat insect|avp	has negative impact on	insect|n	625d-d91e-b300-b6dc	0
lizard eat insect|avp	has positive impact on	lizard|n	625d-d91e-b300-b6dc	0
lizard eat insect|avp	structural-agent	lizard|n	625d-d91e-b300-b6dc	0
lizard eat insect|avp	structural-patient	insect|n	625d-d91e-b300-b6dc	0
lizard eat insect|avp	structural-verb	eat|v	625d-d91e-b300-b6dc	0
human eat seed|avp	has negative impact on	seed|n	733f-086d-4dee-dbc3	0
human eat seed|avp	has positive impact on	human|n	733f-086d-4dee-dbc3	0
human eat seed|avp	structural-agent	human|n	733f-086d-4dee-dbc3	0
human eat seed|avp	structural-patient	seed|n	733f-086d-4dee-dbc3	0
human eat seed|avp	structural-verb	eat|v	733f-086d-4dee-dbc3	0
human eat crop|avp	has negative impact on	crop|n	76c8-6933-622a-64f6	0
human eat crop|avp	has positive impact on	human|n	76c8-6933-622a-64f6	0
human eat crop|avp	structural-agent	human|n	76c8-6933-622a-64f6	0
human eat crop|avp	structural-patient	crop|n	76c8-6933-622a-64f6	0
human eat crop|avp	structural-verb	eat|v	76c8-6933-622a-64f6	0
cow eat plant|avp	has negative impact on	plant|n	8280-558f-d30b-c051	0
cow eat plant|avp	has positive impact on	cow|n	8280-558f-d30b-c051	0
cow eat plant|avp	structural-agent	cow|n	8280-558f-d30b-c051	0
cow eat plant|avp	structural-patient	plant|n	8280-558f-d30b-c051	0
cow eat plant|avp	structural-verb	eat|v	8280-558f-d30b-c051	0
bird eat berry|avp	has negative impact on	berry|n	a6aa-97ee-2e4a-a9ad	0
bird eat berry|avp	has positive impact on	bird|n	a6aa-97ee-2e4a-a9ad	0
bird eat berry|avp	structural-agent	bird|n	a6aa-97ee-2e4a-a9ad	0
bird eat berry|avp	structural-patient	berry|n	a6aa-97ee-2e4a-a9ad	0
