subj	rel	obj	id	flag
Appalachian Mountains|ns	structural-noun-compound	Mountains|n		5
Earth plates|ns	structural-noun-compound	plates|n		5
Great Lakes|jn	structural-adjective	Great|j		5
Great Lakes|jn	structural-noun	Lakes|n		5
Western Hemisphere|jn	structural-adjective	Western|j		5
Western Hemisphere|jn	structural-noun	Hemisphere|n		5
acquired characteristic|jn	structural-adjective	acquired|j		0
acquired characteristic|jn	structural-noun	characteristic|n		0
adaptive feature|jn	structural-adjective	adaptive|j		5
adaptive feature|jn	structural-noun	feature|n		5
big eye|jn	structural-adjective	big|j		5
big eye|jn	structural-noun	eye|n		5
blending in|ns	structural-adjective	in|j		5
bone cells|ns	structural-noun	bone|n		5
bone cells|ns	structural-noun	cells|n		5
bottom of area|ns	structural-noun-compound	bottom|n		5
bottom of swamp|ns	structural-noun-compound	bottom|n		5
characteristic|n	has property	acquired|j		0
characteristic|n	has property	inherited|j		0
characteristic|n	has property	instinctive|j		0
characteristic|n	has property	learned|j		0
charles darwin|ns	structural-noun-compound	charles|n		5
chemical weathering|ns	structural-noun-compound	chemical|n		5
contents color|ns	structural-noun-compound	contents|n		5
dead organisms|jn	structural-adjective	dead|j		5
dead organisms|jn	structural-noun	organisms|n		5
decaying vegetation|ns	structural-noun-compound	vegetation|n		5
degrees celsius|ns	structural-noun-compound	degrees|n		5
degrees celsiu|ns	structural-noun	celsiu|n		5
degrees celsiu|ns	structural-noun	degrees|n		5
degrees fahrenheit|ns	structural-noun-compound	degrees|n		5
degrees kelvin|ns	structural-noun-compound	degrees|n		5
different colors|jn	structural-adjective	different|j		5
different colors|jn	structural-noun	colors|n		5
earth poles|ns	structural-noun	earth|n		5
earth poles|ns	structural-noun	poles|n		5
ecological succession|jn	structural-adjective	ecological|j		5
ecological succession|jn	structural-noun	succession|n		5
edible plants|jn	structural-adjective	edible|j		5
edible plants|jn	structural-noun	plants|n		5
electrical signals|jn	structural-adjective	electrical|j		5
electrical signals|jn	structural-noun	signals|n		5
eraser|n	has property	rubber|j		0
extensive properties|jn	structural-adjective	extensive|j		5
extensive properties|jn	structural-noun	properties|n		5
far from Earth|ns	structural-noun-compound	Earth|n		5
ferromagnetic metals|jn	structural-adjective	ferromagnetic|j		5
ferromagnetic metals|jn	structural-noun	metals|n		5
ferrous metals|jn	structural-adjective	ferrous|j		5
ferrous metals|jn	structural-noun	metals|n		5
flat land surface|jn	structural-adjective	flat|j		5
flat land surface|jn	structural-noun	land|n		5
flat land surface|jn	structural-noun	surface|n		5
flat leaf|jn	structural-adjective	flat|j		5
flat leaf|jn	structural-noun	leaf|n		5
fork|n	has property	metal|j		0
fruit trees|ns	structural-noun	fruit|n		5
fruit trees|ns	structural-noun	trees|n		5
gaseous matter|jn	structural-adjective	gaseous|j		0
gaseous matter|jn	structural-noun	matter|n		0
good bacteria|jn	structural-adjective	good|j		5
good bacteria|jn	structural-noun	bacteria|n		5
gravitational force|jn	structural-adjective	gravitational|j		5
gravitational force|jn	structural-noun	force|n		5
half of earth|ns	structural-noun-compound	half|n		5
harmful chemicals|jn	structural-adjective	harmful|j		5
harmful chemicals|jn	structural-noun	chemicals|n		5
hemisphere of earth|ns	structural-noun-compound	hemisphere|n		5
hemisphere|n	has property	northern|j		0
hemisphere|n	has property	southern|j		0
high vibration|jn	structural-adjective	high|j		5
high vibration|jn	structural-noun	vibration|n		5
horizontal axis|jn	structural-adjective	horizontal|j		5
horizontal axis|jn	structural-noun	axis|n		5
how many|j	structural-adjective	how|j		5
how many|j	structural-adjective	many|j		5
ice crystals|ns	structural-noun	crystals|n		5
ice crystals|ns	structural-noun	ice|n		5
inherited characteristic|jn	structural-adjective	inherited|j		0
inherited characteristic|jn	structural-noun	characteristic|n		0
instinctive characteristic|jn	structural-adjective	instinctive|j		0
instinctive characteristic|jn	structural-noun	characteristic|n		0
intensive properties|jn	structural-adjective	intensive|j		5
intensive properties|jn	structural-noun	properties|n		5
internal organs|jn	structural-adjective	internal|j		5
internal organs|jn	structural-noun	organs|n		5
iron nails|ns	structural-noun	iron|n		5
iron nails|ns	structural-noun	nails|n		5
kind of|j	structural-adjective	kind|j		5
learned characteristic|jn	structural-adjective	learned|j		0
learned characteristic|jn	structural-noun	characteristic|n		0
light bulb filaments|ns	structural-noun-compound	filaments|n		5
light pollution|ns	structural-noun	pollution|n		0
light pollution|ns	structural-noun-compound	light|n		0
light years|ns	structural-noun	years|n		5
light years|ns	structural-noun-compound	light|n		5
light year|ns	structural-noun-compound	light|n		0
light year|ns	structural-noun-compound	year|n		0
liquid matter|jn	structural-adjective	liquid|j		0
liquid matter|jn	structural-noun	matter|n		0
living ent|ns	structural-noun-compound	ent|n		5
living things|jn	structural-noun	things|n		5
living thing|jn	structural-adjective	living|j		0
living thing|jn	structural-noun	thing|n		0
local organisms|jn	structural-adjective	local|j		5
local organisms|jn	structural-noun	organisms|n		5
louis pasteur|ns	structural-noun-compound	louis|n		5
low vibration|jn	structural-adjective	low|j		5
low vibration|jn	structural-noun	vibration|n		5
magnetic fields|jn	structural-adjective	magnetic|j		5
magnetic fields|jn	structural-noun	fields|n		5
magnetic metals|jn	structural-adjective	magnetic|j		5
magnetic metals|jn	structural-noun	metals|n		5
matter|n	has property	gaseous|j		0
matter|n	has property	liquid|j		0
matter|n	has property	solid|j		0
meadow voles|ns	structural-noun	meadow|n		5
meadow voles|ns	structural-noun	voles|n		5
metal fork|jn	structural-adjective	metal|j		0
metal fork|jn	structural-noun	fork|n		0
metal fork|ns	structural-noun-compound	fork|n		5
miles per gallon|ns	structural-noun-compound	miles|n		5
moving charged particles|jn	structural-adjective	charged|j		5
moving charged particles|jn	structural-noun	particles|n		5
moving charges|jn	structural-noun	charges|n		5
muscle cells|ns	structural-noun	cells|n		5
muscle cells|ns	structural-noun	muscle|n		5
musical instruments|jn	structural-adjective	musical|j		5
musical instruments|jn	structural-noun	instruments|n		5
native plants|jn	structural-adjective	native|j		5
native plants|jn	structural-noun	plants|n		5
natural resources|jn	structural-adjective	natural|j		5
natural resources|jn	structural-noun	resources|n		5
nerve cells|ns	structural-noun	cells|n		5
nerve cells|ns	structural-noun	nerve|n		5
non contact forces|ns	structural-noun-compound	forces|n		5
nonliving things|jn	structural-noun	things|n		5
nonrenewable resources|jn	structural-adjective	nonrenewable|j		5
nonrenewable resources|jn	structural-noun	resources|n		5
northern hemisphere|jn	structural-adjective	northern|j		0
northern hemisphere|jn	structural-noun	hemisphere|n		0
not dense|j	structural-adjective	dense|j		5
oil mixed with water|ns	structural-noun-compound	oil|n		5
other animals|jn	structural-adjective	other|j		5
other animals|jn	structural-noun	animals|n		5
other animal|jn	structural-adjective	other|j		5
other animal|jn	structural-noun	animal|n		5
other organisms|jn	structural-adjective	other|j		5
other organisms|jn	structural-noun	organisms|n		5
other organism|jn	structural-adjective	other|j		5
other organism|jn	structural-noun	organism|n		5
part of|ns	structural-noun-compound	part|n		5
plant cells|ns	structural-noun	cells|n		5
plant cells|ns	structural-noun	plant|n		5
plastic spoon|jn	structural-adjective	plastic|j		0
plastic spoon|jn	structural-noun	spoon|n		0
plastic spoon|ns	structural-noun-compound	spoon|n		5
plate tectonics|ns	structural-noun	plate|n		5
plate tectonics|ns	structural-noun	tectonics|n		5
pollutions standard|ns	structural-noun-compound	pollutions|n		5
pollution|n	has property	light|j		0
prevailing westerlies|jn	structural-adjective	prevailing|j		5
prevailing westerlies|jn	structural-noun	westerlies|n		5
railroad tracks|ns	structural-noun	railroad|n		5
railroad tracks|ns	structural-noun	tracks|n		5
required items|jn	structural-adjective	required|j		5
required items|jn	structural-noun	items|n		5
rubber eraser|jn	structural-adjective	rubber|j		0
rubber eraser|jn	structural-noun	eraser|n		0
rubber eraser|ns	structural-noun-compound	eraser|n		5
safety goggles|ns	structural-noun	goggles|n		5
safety goggles|ns	structural-noun	safety|n		5
sharp sense|jn	structural-adjective	sharp|j		5
sharp sense|jn	structural-noun	sense|n		5
sick people|jn	structural-adjective	sick|j		5
sick people|jn	structural-noun	people|n		5
similar characteristics|jn	structural-adjective	similar|j		5
similar characteristics|jn	structural-noun	characteristics|n		5
six legs|ns	structural-noun-compound	legs|n		5
sky conditions|ns	structural-noun	conditions|n		5
sky conditions|ns	structural-noun	sky|n		5
sleeping bags|ns	structural-noun-compound	bags|n		5
solid matter|jn	structural-adjective	solid|j		0
solid matter|jn	structural-noun	matter|n		0
solid particles|jn	structural-adjective	solid|j		5
solid particles|jn	structural-noun	particles|n		5
sound speed|jn	structural-adjective	sound|j		5
sound speed|jn	structural-noun	speed|n		5
southern hemisphere|jn	structural-adjective	southern|j		0
southern hemisphere|jn	structural-noun	hemisphere|n		0
spoon|n	has property	plastic|j		0
tectonic plates|jn	structural-adjective	tectonic|j		5
tectonic plates|jn	structural-noun	plates|n		5
the past|ns	structural-noun-compound	past|n		5
thermal gloves|jn	structural-adjective	thermal|j		5
