subj	rel	obj
pea	kind of	plant
antigua and barbuda	at location	northern hemisphere
recessive gene	causes	trait
heat liquid	structural-verb	heat
greater size	structural-adjective	greater
north pole	kind of	location
detect odor	structural-patient	odor
odor	has property	bad
miles	kind of	length
cut down tree	at location	forest
preserve food	structural-patient	food
lizard eat insect	structural-patient	insect
plant	has subcomponent	stem
east lothian	at location	scotland
strong object	structural-noun	object
squirrel eat edible plant	has negative impact on	plant
one	kind of	number
touch	synonym	feel
drop object	structural-verb	drop
tube-like body	structural-noun	body
recycling	has positive impact on	environment
energy	has property	stored
southern hemisphere	structural-adjective	southern
adult animal	structural-noun	animal
find direction	structural-verb	find
remora fish eat	structural-agent	remora fish
shandong	at location	people's republic of china
transport food	structural-verb	transport
jarvis island (united states)	structural-noun-compound	states
tonnes	kind of	weight
tree species	structural-noun-compound	tree
plate tectonic	structural-noun-compound	plate
ice cube	kind of	solid
scavenge	kind of	skill
provide warmth	structural-patient	warmth
blow air	structural-patient	air
tokelau (new zealand)	structural-noun-compound	new
identify pure substance	structural-verb	identify
good bacteria	structural-adjective	good
lizard	kind of	animal
take in	synonym	absorb
condensing	derivational morphology	condense
container	has subcomponent	air hole
source	has subcomponent	requirement
remove harmful substance	structural-patient	harmful substance
absorb sound	structural-verb	absorb
scavenger eat dead organism	structural-agent	scavenger
kangaroo drink milk	structural-verb	drink
epsomite	has property	magnetic
mouse	at location	hole
decimeters	synonym	dm
roller skate	has subcomponent	wheel
living thing	has property	alive
burn coal	structural-patient	coal
gravity	at location	planet
less wetness	structural-quantifier	less
produce nuclear energy	structural-patient	nuclear energy
tree trunk	structural-noun-compound	tree
freezing point	structural-noun-compound	point
radio	has property	electrical
not see	antonym	see
highest temperature	structural-quantifier	highest
material	has property	rough
invent telephone	structural-verb	invent
nuclear reaction	causes	light energy
dissolved oxygen	structural-noun	oxygen
flintshire	structural-noun-compound	flintshire
animal	has property	land
producer	has subcomponent	energy
mimicry	derivational morphology	mimic
sticky tongue	kind of	adaptation
beak	has property	skinny
yukon	instance of	territory
living entity	at location	home
glove	kind of	tool
water vapour	has property	invisible
clear weather	structural-adjective	clear
many energy	causes	high pulse
required items	structural-adjective	required
cromartyshire	structural-noun-compound	cromartyshire
learned characteristic	kind of	acquired characteristic
windshield wiper	structural-noun-compound	windshield
omnivore eat plant	structural-verb	eat
czech republic	structural-noun-compound	republic
ice	kind of	object
blow whistle	structural-verb	blow
animal	at location	zoo
make easier	synonym	help
bouvet island (norway)	structural-noun-compound	island
above value	structural-noun	value
matter state	structural-noun-compound	state
meters	kind of	distance
capture animal	at location	container
warwickshire	structural-noun-compound	warwickshire
natural resource	structural-noun	resource
dam river	structural-patient	river
close object	has property	large
animal	has subcomponent	skeletal system
determine type	structural-patient	type
know location	structural-patient	location
protected area	structural-noun	area
arctic	has property	cold
heat energy	structural-noun-compound	heat
egg hatch	structural-verb	hatch
shake	kind of	motion
distance	kind of	measure
wind speed	kind of	speed
chihuahua	instance of	state
satellite orbit planet	structural-verb	orbit
transport food	at location	world
magnifying glass	kind of	tool
cloth	kind of	material
day	has subcomponent	daytime
young rock	at location	old rock
vibrate	kind of	motion
plant	kind of	organism
1538c	kind of	celcius
nails	derivational morphology	nail
rabbit	kind of	prey
substance	has property	density
people	derivational morphology	person
precipitation	at location	cloud
doorbell	causes	sound
f e	structural-adjective	f
northamptonshire	instance of	county
saint barthélemy (france)	at location	northern hemisphere
temperature	has property	hot
chlorophyll	has property	green
add	kind of	activity
computer control robot	structural-agent	computer
negative impact	structural-adjective	negative
liberia	at location	southern hemisphere
high strength	structural-adjective	high
f l a	structural-adjective	f
diatom	kind of	producer
climate	has property	cool
water	has property	hot
bahrain	at location	northern hemisphere
exert force	structural-patient	force
nayarit	at location	mexico
other animals	structural-noun	animals
wrap conductor	structural-verb	wrap
animal	has property	poisonous
human quality	structural-noun	quality
disperse seed	causes	tree reproduce
destroy pathogen	at location	body
bicycle	has subcomponent	axle
1 month	structural-quantifier	1
pounds	synonym	lb
frying pan	structural-noun-compound	frying
latitude	has property	same
remain	synonym	not change
characteristics	derivational morphology	characteristics
warm	synonym	warm temperature
spider	causes	spiderweb
squirrel	kind of	animal
rain forest	structural-noun-compound	forest
bear eat animal	structural-verb	eat
planet	has subcomponent	mass
niue (new zealand)	structural-noun-compound	zealand
material	has property	recyclable
limited	derivational morphology	limit
open container	structural-adjective	open
form group	structural-patient	group
reproductive behavior	kind of	inherited characteristic
excretory	derivational morphology	excretion
instinctive behavior	kind of	inherited characteristic
animal become oil	structural-patient	oil
maintain health	structural-patient	health
mali	at location	southern hemisphere
magnetic field	kind of	force
object	has property	similar
animal learn	structural-agent	animal
protect cell membrane	structural-verb	protect
small intestine	structural-noun-compound	small
behaviour	has property	learned
egypt	at location	southern hemisphere
change position	structural-verb	change
distraction	causes	crash
substance	has property	negatively-charged
decrease heat	structural-patient	heat
part	synonym	stage
generate heat	structural-patient	heat
rain storm	structural-noun-compound	storm
return	kind of	movement
winter	causes	decrease temperature
higher	synonym	above value
become warm	structural-verb	become
winter	has negative impact on	plant
sea turtle	kind of	animal
gold	kind of	solid
dark color	structural-noun	color
small diameter	structural-adjective	small
light years	derivational morphology	light year
north pole	structural-noun-compound	north
decreasing	derivational morphology	decrease
newborn	synonym	just born
light bulb	causes	light
camel	kind of	animal
thick feather	structural-adjective	thick
human	has property	male
device	has property	electric
fern	kind of	plant
dumbartonshire	instance of	county
sint eustatius (netherlands)	structural-noun-compound	eustatius
inherited characteristic	kind of	hereditary information
pesticide	has positive impact on	plant
learn information	structural-verb	learn
human	at location	house
poison	has negative impact on	living thing
guinea-bissau	structural-noun-compound	bissau
liquid push	structural-agent	liquid
substance	has property	simple
electromagnet	has subcomponent	copper wire
bury	kind of	hide
young bird	structural-noun-compound	bird
flexible container	structural-adjective	flexible
burn living thing	has negative impact on	living thing
object	has property	function
rising	derivational morphology	rise
offshore oil platform	at location	sea
every year	structural-adjective	every
cold environment	has subcomponent	few organism
saint kitts and nevis	structural-noun-compound	nevis
prehistoric	synonym	very old
bee eat pollen	has positive impact on	bee
month	has subcomponent	moon revolve
plant transport nutrient	structural-agent	plant
plant	has subcomponent	chlorophyll
car accident	structural-noun-compound	accident
animal die	structural-verb	die
tube	kind of	hollow object
lemon tree	structural-noun-compound	tree
sea animal	at location	ocean
deposition	kind of	constructive force
mineral graphite	structural-noun-compound	graphite
drinking straw	structural-noun-compound	straw
six side	structural-noun	side
light	has property	visible
nevada	structural-noun-compound	nevada
seeds	derivational morphology	seed
baby	causes	adult
thunderstorm	has subcomponent	thunder
organism	synonym	living entity
road surface	structural-noun-compound	road
rock form	kind of	process
invent tool	structural-verb	invent
push bike pedal	structural-verb	push
tamaulipas	at location	mexico
body of water	kind of	water
communication	has positive impact on	life
reflect light	structural-verb	reflect
prevent spoiling	structural-patient	spoiling
magma cool	structural-verb	cool
fall	synonym	autumn
edible plants	derivational morphology	edible plant
mountain chorus frog	structural-noun-compound	chorus
eat insect	structural-verb	eat
human	at location	planet
little pollutant	structural-quantifier	little
string vibrate	structural-verb	vibrate
motion	has property	circular
electrical circuit	has property	complete
conduct	derivational morphology	conductor
nature preserve	structural-noun-compound	nature
flour reproduce	structural-verb	reproduce
less soil	structural-quantifier	less
bright	antonym	dark
grass	has property	fake
animal	kind of	living thing
replace natural resource	structural-patient	natural resource
hail	at location	cloud
park	kind of	environment
harmful substance	structural-adjective	harmful
alligators	derivational morphology	alligator
logging	synonym	cut down forest
little food	causes	starvation
earthquake change earth surface	structural-agent	earthquake
small piece	structural-adjective	small
find mate	structural-verb	find
earth revolve	at location	axis
wind move sand	structural-verb	move
alligator eat turtle	structural-agent	alligator
role	synonym	function
jalisco	at location	mexico
underwater	synonym	below water
british indian ocean territory (united kingdom)	structural-noun-compound	british
find north	structural-patient	north
human compete	structural-agent	human
planet orbit star	structural-patient	star
humidity	at location	atmosphere
young	has property	live
soft	kind of	touch sensation
learned behaviour	kind of	behaviour
toothbrush	has property	electric
low tide	structural-noun-compound	low
improvement	synonym	positive impact
bhutan	at location	northern hemisphere
sedimentary rock	has subcomponent	small particle
plankton	kind of	animal
costa rica	structural-noun-compound	costa
remove	synonym	decrease
deer mouse	structural-noun-compound	deer
channel	has subcomponent	moving water
lady bug	structural-noun-compound	lady
object	has subcomponent	characteristic
observe star	structural-verb	observe
earth	has subcomponent	earth surface
safety goggles	structural-noun	safety
wooded area	structural-noun-compound	area
animal scale	has property	small
physical cycle	structural-noun-compound	cycle
loud	instance of	volume
sea animal	structural-noun-compound	sea
animal excrete seed	structural-patient	seed
increase water	structural-verb	increase
worm	has subcomponent	tube-like body
newfoundland and labrador	instance of	province
signal	has property	electrical
electrical circuit	structural-noun-compound	electrical
organism die	structural-verb	die
many material	structural-noun	material
retain water	structural-patient	water
area	has property	coastal
recycling	has positive impact on	conservation
record observation	structural-patient	observation
complete electrical circuit	structural-noun	electrical circuit
tibet autonomous region	structural-noun-compound	autonomous
drink milk	kind of	instinct
use tool	structural-patient	tool
flow	at location	pipe
sediment cover organism remains	structural-agent	sediment
cloudy day	structural-noun	day
sand	has subcomponent	rough surface
earth	has subcomponent	mass
pollinate	at location	flower
bean plant	structural-noun-compound	plant
choice	has property	good
oxygenated	derivational morphology	oxygen
sri lanka	at location	northern hemisphere
study soil sample	structural-patient	soil sample
moon kind	synonym	moon phase
synthetic material	kind of	material
state of matter	structural-noun-compound	of
drive vehicle	synonym	use vehicle
carbonic acid dissolve limestone	structural-patient	limestone
store	synonym	hold
help entity	structural-verb	help
visibility	has property	low
environment	causes	acquired characteristic
very cold	structural-adjective	cold
butterfly	synonym	old caterpillar
montserrat (uk)	at location	northern hemisphere
matter state	structural-noun-compound	matter
heat	synonym	add heat
temperature	has property	lower
lesotho	at location	southern hemisphere
wide river	structural-adjective	wide
pinhole camera	structural-noun-compound	pinhole
shift	synonym	move
detect texture	structural-patient	texture
wolf	kind of	animal
event occur	structural-agent	event
cause formation	structural-verb	cause
digestive system	structural-noun-compound	system
generate electricity	structural-verb	generate
large canopy	structural-noun	canopy
send	synonym	transfer
tadpole breathe	structural-verb	breathe
grand canyon	structural-noun-compound	grand
blend in	synonym	hide
solar energy	instance of	energy
lose hair	structural-patient	hair
thermal conduction	has subcomponent	cool object
newly hatched	synonym	just born
natural gas	structural-adjective	natural
carmarthenshire	structural-noun-compound	carmarthenshire
sweden	at location	northern hemisphere
