subj	rel	obj
evaporate	agent	gas
antigua and barbuda	at location	northern hemisphere
recessive gene	causes	trait
heat liquid	structural-verb	heat
greater size	structural-adjective	greater
support plant	instrument	stem
detect odor	structural-patient	odor
odor	has property	bad
cut down tree	at location	forest
preserve food	structural-patient	food
lizard eat insect	structural-patient	insect
plant	has subcomponent	stem
east lothian	at location	scotland
strong object	structural-noun	object
squirrel eat edible plant	has negative impact on	plant
freeze	patient	liquid
drop object	structural-verb	drop
tube-like body	structural-noun	body
recycling	has positive impact on	environment
energy	has property	stored
southern hemisphere	structural-adjective	southern
adult animal	structural-noun	animal
find direction	structural-verb	find
see	patient	specimen
remora fish eat	structural-agent	remora fish
shandong	at location	people's republic of china
transport food	structural-verb	transport
control	patient	robot
jarvis island (united states)	structural-noun-compound	states
tree species	structural-noun-compound	tree
plate tectonic	structural-noun-compound	plate
filter waste	instrument	kidney
provide warmth	structural-patient	warmth
blow air	structural-patient	air
crumple	patient	smooth object
tokelau (new zealand)	structural-noun-compound	new
identify pure substance	structural-verb	identify
good bacteria	structural-adjective	good
condensing	derivational morphology	condense
container	has subcomponent	air hole
source	has subcomponent	requirement
water vapour rise	result	cloud
remove harmful substance	structural-patient	harmful substance
absorb sound	structural-verb	absorb
hide	patient	seed
scavenger eat dead organism	structural-agent	scavenger
kangaroo drink milk	structural-verb	drink
epsomite	has property	magnetic
mouse	at location	hole
crack	result	break apart
roller skate	has subcomponent	wheel
living thing	has property	alive
pedal	patient	bicycle
shed fur	agent	animal
decay	agent	vegetation
burn coal	structural-patient	coal
gravity	at location	planet
less wetness	structural-quantifier	less
produce nuclear energy	structural-patient	nuclear energy
tree trunk	structural-noun-compound	tree
freezing point	structural-noun-compound	point
look in	patient	container
radio	has property	electrical
meteoroid impact	patient	moon
highest temperature	structural-quantifier	highest
material	has property	rough
invent telephone	structural-verb	invent
reduce	patient	amount
increase	patient	temperature
swim	agent	animal
nuclear reaction	causes	light energy
dissolved oxygen	structural-noun	oxygen
flintshire	structural-noun-compound	flintshire
animal	has property	land
producer	has subcomponent	energy
mimicry	derivational morphology	mimic
beak	has property	skinny
living entity	at location	home
water vapour	has property	invisible
reflect light	instrument	shiny object
clear weather	structural-adjective	clear
many energy	causes	high pulse
required items	structural-adjective	required
cromartyshire	structural-noun-compound	cromartyshire
study animal	instrument	capture animal
windshield wiper	structural-noun-compound	windshield
omnivore eat plant	structural-verb	eat
czech republic	structural-noun-compound	republic
wrap	patient	conductor
evaporate	agent	liquid
blow whistle	structural-verb	blow
animal	at location	zoo
bouvet island (norway)	structural-noun-compound	island
above value	structural-noun	value
matter state	structural-noun-compound	state
capture animal	at location	container
warwickshire	structural-noun-compound	warwickshire
natural resource	structural-noun	resource
dam river	structural-patient	river
close object	has property	large
animal	has subcomponent	skeletal system
absorb	patient	oxygen
determine type	structural-patient	type
know location	structural-patient	location
produce	patient	light
protected area	structural-noun	area
arctic	has property	cold
heat energy	structural-noun-compound	heat
egg hatch	structural-verb	hatch
compete	result	increase resource
invent tool	result	use tool
living thing survive	instrument	water
satellite orbit planet	structural-verb	orbit
transport food	at location	world
day	has subcomponent	daytime
young rock	at location	old rock
rot	agent	dead organism
nails	derivational morphology	nail
substance	has property	density
people	derivational morphology	person
precipitation	at location	cloud
doorbell	causes	sound
f e	structural-adjective	f
change	agent	environment
saint barthélemy (france)	at location	northern hemisphere
temperature	has property	hot
chlorophyll	has property	green
computer control robot	structural-agent	computer
negative impact	structural-adjective	negative
liberia	at location	southern hemisphere
high strength	structural-adjective	high
f l a	structural-adjective	f
climate	has property	cool
see	instrument	refraction
water	has property	hot
bahrain	at location	northern hemisphere
exert force	structural-patient	force
nayarit	at location	mexico
other animals	structural-noun	animals
burn	patient	body part
wrap conductor	structural-verb	wrap
animal	has property	poisonous
gone	derivational morphology	go
human quality	structural-noun	quality
disperse seed	causes	tree reproduce
lay	agent	salmon
destroy pathogen	at location	body
bicycle	has subcomponent	axle
1 month	structural-quantifier	1
fold	agent	rock
frying pan	structural-noun-compound	frying
latitude	has property	same
characteristics	derivational morphology	characteristics
spider	causes	spiderweb
rain forest	structural-noun-compound	forest
bear eat animal	structural-verb	eat
planet	has subcomponent	mass
niue (new zealand)	structural-noun-compound	zealand
material	has property	recyclable
limited	derivational morphology	limit
open container	structural-adjective	open
form group	structural-patient	group
excretory	derivational morphology	excretion
blow	patient	air
animal become oil	structural-patient	oil
maintain health	structural-patient	health
mali	at location	southern hemisphere
object	has property	similar
animal learn	structural-agent	animal
protect cell membrane	structural-verb	protect
small intestine	structural-noun-compound	small
behaviour	has property	learned
egypt	at location	southern hemisphere
change position	structural-verb	change
distraction	causes	crash
pollinate	beneficiary	plant
substance	has property	negatively-charged
nurse	beneficiary	offspring
decrease heat	structural-patient	heat
generate heat	structural-patient	heat
rain storm	structural-noun-compound	storm
winter	causes	decrease temperature
peat become coal	instrument	bury peat
become warm	structural-verb	become
change	patient	appearance
winter	has negative impact on	plant
dark color	structural-noun	color
small diameter	structural-adjective	small
light years	derivational morphology	light year
north pole	structural-noun-compound	north
access small space	instrument	skinny beak
decreasing	derivational morphology	decrease
light bulb	causes	light
thick feather	structural-adjective	thick
human	has property	male
answer	patient	question
device	has property	electric
crash	patient	car
sint eustatius (netherlands)	structural-noun-compound	eustatius
pesticide	has positive impact on	plant
learn information	structural-verb	learn
human	at location	house
poison	has negative impact on	living thing
guinea-bissau	structural-noun-compound	bissau
eat	agent	carnivore
liquid push	structural-agent	liquid
substance	has property	simple
electromagnet	has subcomponent	copper wire
young bird	structural-noun-compound	bird
flexible container	structural-adjective	flexible
burn living thing	has negative impact on	living thing
object	has property	function
rising	derivational morphology	rise
predator eat	patient	animal
offshore oil platform	at location	sea
every year	structural-adjective	every
cold environment	has subcomponent	few organism
photosynthesize	instrument	light
saint kitts and nevis	structural-noun-compound	nevis
reduce	patient	waste
bee eat pollen	has positive impact on	bee
month	has subcomponent	moon revolve
plant transport nutrient	structural-agent	plant
plant	has subcomponent	chlorophyll
car accident	structural-noun-compound	accident
animal die	structural-verb	die
lemon tree	structural-noun-compound	tree
sea animal	at location	ocean
mineral graphite	structural-noun-compound	graphite
travel	agent	plane
drinking straw	structural-noun-compound	straw
six side	structural-noun	side
light	has property	visible
nevada	structural-noun-compound	nevada
seeds	derivational morphology	seed
baby	causes	adult
thunderstorm	has subcomponent	thunder
road surface	structural-noun-compound	road
produce	agent	source
invent tool	structural-verb	invent
push bike pedal	structural-verb	push
tamaulipas	at location	mexico
communication	has positive impact on	life
reflect light	structural-verb	reflect
prevent spoiling	structural-patient	spoiling
magma cool	structural-verb	cool
edible plants	derivational morphology	edible plant
mountain chorus frog	structural-noun-compound	chorus
move object	result	sound
eat insect	structural-verb	eat
human	at location	planet
little pollutant	structural-quantifier	little
string vibrate	structural-verb	vibrate
push bone	result	move bone
motion	has property	circular
electrical circuit	has property	complete
conduct	derivational morphology	conductor
nature preserve	structural-noun-compound	nature
flour reproduce	structural-verb	reproduce
change	agent	ecosystem
less soil	structural-quantifier	less
grass	has property	fake
replace natural resource	structural-patient	natural resource
lift	patient	object
hail	at location	cloud
harmful substance	structural-adjective	harmful
remove waste	instrument	kidney
alligators	derivational morphology	alligator
pollinate	agent	water
little food	causes	starvation
earthquake change earth surface	structural-agent	earthquake
small piece	structural-adjective	small
find mate	structural-verb	find
earth revolve	at location	axis
wind move sand	structural-verb	move
alligator eat turtle	structural-agent	alligator
dry	instrument	hand dryer
jalisco	at location	mexico
british indian ocean territory (united kingdom)	structural-noun-compound	british
find north	structural-patient	north
human compete	structural-agent	human
